Time,NodeID,Alleles,VectorPopulation,VectorPopulationNumDied,VectorPopulationAvgAgeAtDeath
87,1,X,97153,14843,6.61005
87,1,Y,0,0,0
87,1,a0,97153,14843,6.61005
87,1,a1,0,0,0
87,1,b0,97153,14843,6.61005
87,1,b1,0,0,0
87,1,a0.b0,97153,14843,6.61005
87,1,a1.b1,0,0,0
88,1,X,96973,14708,6.67548
88,1,Y,0,0,0
88,1,a0,96973,14708,6.67548
88,1,a1,0,0,0
88,1,b0,96973,14708,6.67548
88,1,b1,0,0,0
88,1,a0.b0,96973,14708,6.67548
88,1,a1.b1,0,0,0
89,1,X,96935,14454,6.64058
89,1,Y,0,0,0
89,1,a0,96935,14454,6.64058
89,1,a1,0,0,0
89,1,b0,96935,14454,6.64058
89,1,b1,0,0,0
89,1,a0.b0,96935,14454,6.64058
89,1,a1.b1,0,0,0
90,1,X,97032,14290,6.71931
90,1,Y,0,0,0
90,1,a0,97032,14290,6.71931
90,1,a1,0,0,0
90,1,b0,97032,14290,6.71931
90,1,b1,0,0,0
90,1,a0.b0,97032,14290,6.71931
90,1,a1.b1,0,0,0
91,1,X,96801,14636,6.7114
91,1,Y,0,0,0
91,1,a0,96801,14636,6.7114
91,1,a1,0,0,0
91,1,b0,96801,14636,6.7114
91,1,b1,0,0,0
91,1,a0.b0,96801,14636,6.7114
91,1,a1.b1,0,0,0
92,1,X,97023,14553,6.69168
92,1,Y,0,0,0
92,1,a0,97023,14553,6.69168
92,1,a1,0,0,0
92,1,b0,97023,14553,6.69168
92,1,b1,0,0,0
92,1,a0.b0,97023,14553,6.69168
92,1,a1.b1,0,0,0
93,1,X,96468,14629,6.60127
93,1,Y,0,0,0
93,1,a0,96468,14629,6.60127
93,1,a1,0,0,0
93,1,b0,96468,14629,6.60127
93,1,b1,0,0,0
93,1,a0.b0,96468,14629,6.60127
93,1,a1.b1,0,0,0
94,1,X,96375,14425,6.7026
94,1,Y,0,0,0
94,1,a0,96375,14425,6.7026
94,1,a1,0,0,0
94,1,b0,96375,14425,6.7026
94,1,b1,0,0,0
94,1,a0.b0,96375,14425,6.7026
94,1,a1.b1,0,0,0
95,1,X,96808,14115,6.54169
95,1,Y,0,0,0
95,1,a0,96808,14115,6.54169
95,1,a1,0,0,0
95,1,b0,96808,14115,6.54169
95,1,b1,0,0,0
95,1,a0.b0,96808,14115,6.54169
95,1,a1.b1,0,0,0
96,1,X,96646,14498,6.57932
96,1,Y,0,0,0
96,1,a0,96646,14498,6.57932
96,1,a1,0,0,0
96,1,b0,96646,14498,6.57932
96,1,b1,0,0,0
96,1,a0.b0,96646,14498,6.57932
96,1,a1.b1,0,0,0
97,1,X,96748,14354,6.77316
97,1,Y,0,0,0
97,1,a0,96748,14354,6.77316
97,1,a1,0,0,0
97,1,b0,96748,14354,6.77316
97,1,b1,0,0,0
97,1,a0.b0,96748,14354,6.77316
97,1,a1.b1,0,0,0
98,1,X,96663,14535,6.72625
98,1,Y,0,0,0
98,1,a0,96663,14535,6.72625
98,1,a1,0,0,0
98,1,b0,96663,14535,6.72625
98,1,b1,0,0,0
98,1,a0.b0,96663,14535,6.72625
98,1,a1.b1,0,0,0
99,1,X,96195,14824,6.64807
99,1,Y,0,0,0
99,1,a0,96195,14824,6.64807
99,1,a1,0,0,0
99,1,b0,96195,14824,6.64807
99,1,b1,0,0,0
99,1,a0.b0,96195,14824,6.64807
99,1,a1.b1,0,0,0
100,1,X,96505,14313,6.72969
100,1,Y,0,0,0
100,1,a0,96505,14313,6.72969
100,1,a1,0,0,0
100,1,b0,96505,14313,6.72969
100,1,b1,0,0,0
100,1,a0.b0,96505,14313,6.72969
100,1,a1.b1,0,0,0
101,1,X,96668,14388,6.65999
101,1,Y,0,0,0
101,1,a0,96668,14388,6.65999
101,1,a1,0,0,0
101,1,b0,96668,14388,6.65999
101,1,b1,0,0,0
