Time,NodeID,Genome,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,MaleNumDied,MaleAvgAgeAtDeath
56,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
56,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
56,1,Other,117023,63639,1019810,944500,13184,6.50334
57,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
57,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
57,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
57,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
57,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
57,1,Other,115961,63796,1021054,1316680,13369,6.86416
58,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
58,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
58,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
58,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
58,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
58,1,Other,115155,63533,1021467,3799660,13336,7.03029
59,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
59,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
59,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
59,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
59,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
59,1,Other,114095,63239,1021894,1319820,13411,7.36373
60,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
60,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
60,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
60,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
60,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
60,1,Other,112862,63292,1022613,1537680,13374,7.60176
61,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
61,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
61,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
61,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
61,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
61,1,Other,111748,63204,1023245,2965840,13571,7.96507
62,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
62,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
62,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
62,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
62,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
62,1,Other,110483,93961,992734,1538320,13562,8.02094
63,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
63,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
63,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
63,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
63,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
63,1,Other,109444,88886,1028351,1651900,13203,8.24063
64,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
64,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
64,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
64,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
64,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
64,1,Other,108267,90679,1018652,2406260,13262,8.27492
